panel_name	mondo_id	gene_symbol_list
cholestasis, intrahepatic, of pregnancy 3	MONDO:0013995	ABCB4
Bjornstad syndrome	MONDO:0009872	BCS1L
hypohidrotic ectodermal dysplasia	MONDO:0016535	CSTB | EDA | EDA2R | EDAR | EDARADD | IKBKG | KDF1 | NFKBIA | TRAF6 | WNT10A
combined deficiency of factor V and factor VIII	MONDO:0018175	LMAN1 | MCFD2
mucopolysaccharidosis type 4B	MONDO:0009660	GLB1
advanced sleep phase syndrome 3	MONDO:0014814	PER3
microphthalmia, syndromic 12	MONDO:0014229	RARB
aniridia 2	MONDO:0014937	ELP4
distal myopathy	MONDO:0018949	ADSS1 | ANO5 | CAV3 | CRYAB | DES | DYSF | FLNC | GIPC1 | GNE | KLHL9 | LDB3 | LRP12 | MATR3 | MYH14 | MYH7 | MYOT | NEB | SQSTM1 | TIA1 | TTN | VCP
Bardet-Biedl syndrome 5	MONDO:0014434	BBS5
growth hormone-producing pituitary gland neoplasm	MONDO:0019927	AIP
stuttering, familial persistent, 1	MONDO:0008483	AP4E1
spermatogenic failures 50	MONDO:0030869	XRCC2
Sandhoff disease, adult form	MONDO:0017723	HEXB
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A6	MONDO:0013158	LARGE1
central nervous system vasculitis	MONDO:0003346	C4A | CCR1 | CTLA4 | ERAP1 | FAS | HLA-B | HLA-DPA1 | HLA-DPB1 | IL10 | IL12A | IL12A-AS1 | IL23R | KLRC4 | MEFV | PRTN3 | PTPN22 | STAT4 | TLR4 | UBAC2
Buruli ulcer, susceptibility to	MONDO:0012499	SLC11A1
hydrocephalus, congenital, 3, with brain anomalies	MONDO:0054794	WDR81
Charcot-Marie-Tooth disease type 1F	MONDO:0011902	NEFL
Charcot-Marie-Tooth disease dominant intermediate c	MONDO:0012012	YARS1
mitochondrial DNA maintenance syndrome	MONDO:0018121	AFG3L2 | AGK | ATP1A3 | DGUOK | DNA2 | FBXL4 | MGME1 | MPV17 | MRM2 | OPA1 | POLG | POLG2 | RRM2B | SLC25A10 | SLC25A21 | SLC25A4 | SUCLA2 | SUCLG1 | TFAM | TK2 | TKFC | TWNK | TYMP
chromosome Y structural anomaly	MONDO:0020061	BPY2 | CDY1 | CDY2A | DAZ1 | DAZ2 | DAZ3 | DAZ4 | DDX3Y | HSFY1 | KDM5D | PRY | PRY2 | RBMY1A1 | RPS4Y2 | TSPY1 | USP9Y | VCY | XKRY
Kabuki syndrome 2	MONDO:0010465	KDM6A
type 1 interferonopathy	MONDO:0018782	ACP5 | ADA2 | ADAR | C1QA | C1R | C4A | DDX58 | DNASE1 | DNASE1L3 | IFIH1 | POLA1 | POMP | PRKCD | PSMB4 | PSMB8 | PSMB9 | RNASEH2A | RNASEH2B | RNASEH2C | SAMHD1 | SKIV2L | STING1 | TREX1 | TTC37 | USP18
combined immunodeficiency due to DOCK8 deficiency	MONDO:0009478	DOCK8
glycogen storage disease I	MONDO:0002413	G6PC1 | SLC37A4
deafness, autosomal recessive 116	MONDO:0033670	CLDN9
cystinuria type B	MONDO:0019746	SLC7A9
clubfoot	MONDO:0007342	PITX1
neurodevelopmental disorder with hypotonia, seizures, and absent language	MONDO:0014995	HECW2
congenital myasthenic syndrome 14	MONDO:0014543	ALG2
keratosis pilaris atrophicans	MONDO:0018855	LRP1 | MBTPS2 | SAT1
caudal regression sequence	MONDO:0017607	FUZ | VANGL1
cholesterol metabolism disease	MONDO:0045008	CYP27A1 | DHCR24 | DHCR7 | SC5D
thrombocytosis disease	MONDO:0002249	CALR | JAK2 | MPL | SH2B3 | THPO
autosomal dominant hypocalcemia 2	MONDO:0014146	GNA11
sex differentiation disease	MONDO:0002145	AKR1C2 | AKR1C4 | AMH | AMHR2 | AR | ARX | ATRX | BDNF | BMP15 | BNC1 | CBX2 | CLPP | CYB5A | CYP11A1 | CYP11B1 | CYP17A1 | CYP19A1 | CYP21A2 | DHCR7 | DHH | DHX37 | DMRT1 | DMRT3 | ERAL1 | ESR2 | FSHR | GATA4 | HARS2 | HHAT | HSD17B3 | HSD17B4 | HSD3B2 | LARS2 | LHB | LHCGR | MAMLD1 | MAP3K1 | MCM9 | MRPS22 | MTM1 | NR0B1 | NR3C1 | NR5A1 | NUP107 | PAX6 | POLR3H | POR | PSMC3IP | RSPO1 | SOHLH1 | SOX3 | SOX9 | SPIDR | SRD5A2 | SRY | STAR | TSPYL1 | TWNK | VAMP7 | WNT4 | WT1 | WWOX | ZFPM2
XFE progeroid syndrome	MONDO:0012590	ERCC4
syndromic X-linked intellectual disability Raymond type	MONDO:0010427	ZDHHC9
Townes-Brocks syndrome	MONDO:0007142	DACT1 | SALL1
granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 2	MONDO:0009310	NCF2
PRKAR1B-related neurodegenerative dementia with intermediate filaments	MONDO:0018475	PRKAR1B
neuronal ceroid lipofuscinosis 8	MONDO:0010830	CLN8
muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type b, 15	MONDO:0033556	DPM3
juvenile amyotrophic lateral sclerosis	MONDO:0017593	ALS2 | FUS | SIGMAR1 | SPG11
hypotrichosis 7	MONDO:0011452	LIPH
lymphoplasmacytic lymphoma	MONDO:0000432	MYD88
nutritional deficiency disease	MONDO:0006873	ABCD4 | ALDH7A1 | AMN | BTD | CBLIF | CUBN | DHFR | FOLR1 | FTCD | HCFC1 | HLCS | LMBRD1 | MMACHC | MMADHC | MTR | MTRR | PLPBP | PNPO | PRDX1 | SLC13A5 | SLC46A1 | TCN2 | TTPA
immunodeficiency syndrome with abnormal pigmentation	MONDO:0018042	AP3B1 | BLOC1S6 | LYST | RAB27A
hereditary gingival fibromatosis	MONDO:0016070	REST | SOS1
cerebrofaciothoracic dysplasia	MONDO:0008952	TMCO1
Rubinstein-Taybi syndrome due to 16p13.3 microdeletion	MONDO:0012519	CREBBP
Behr syndrome	MONDO:0008858	OPA1
developmental and epileptic encephalopathy, 88	MONDO:0030072	MDH1
pseudoachondroplasia	MONDO:0008322	COMP
retinitis pigmentosa 3	MONDO:0010227	RPGR
lower respiratory tract disease	MONDO:0000270	ABCA3 | AP2S1 | ATP11A | CASR | CFTR | COPA | CSF2RA | CSF2RB | CTLA4 | CYBA | CYBB | CYBC1 | DICER1 | DPP9 | DSP | FAM111B | FAM13A | FLCN | FOXF1 | GBA | GNA11 | HLA-DPA1 | HLA-DPB1 | HMOX1 | HPS1 | HPS4 | ITGA3 | MARS1 | MMP1 | MUC5B | MUCL3 | NCF1 | NCF2 | NCF4 | NKX2-1 | NOD2 | PARN | PRTN3 | PTPN22 | RB1 | RTEL1 | SCARB2 | SCNN1A | SCNN1B | SCNN1G | SFTPA1 | SFTPA2 | SFTPB | SFTPC | SLC27A4 | SLC34A2 | SMPD1 | STN1 | TERC | TERT | TP53 | TP73 | TSC1 | TSC2 | ZCCHC8
synpolydactyly type 2	MONDO:0011984	FBLN1
heterotaxy, visceral, 2, autosomal	MONDO:0011546	CFC1
hyperparathyroidism 2 with jaw tumors	MONDO:0007768	CDC73
neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures	MONDO:0100095	ADPRS
bulbospinal muscular atrophy of adulthood	MONDO:0016115	AR
rare constitutional hemolytic anemia due to an enzyme disorder	MONDO:0020104	AK1 | ALDOA | BPGM | G6PD | GATA1 | GCLC | GPI | GSR | GSS | HK1 | NT5C3A | PFKM | PGK1 | PKLR | TPI1 | UROS
combined oxidative phosphorylation defect type 7	MONDO:0013306	MTRFR
tetraamelia syndrome 1	MONDO:0060764	WNT3
autosomal dominant spastic ataxia	MONDO:0017846	VAMP1
proteasome-associated autoinflammatory syndrome 1	MONDO:0054698	PSMB8
severe pre-eclampsia	MONDO:0001641	CD46 | CFH | CFI | HELLPAR | NOS3
nephrotic syndrome, type 12	MONDO:0014817	NUP93
combined oxidative phosphorylation deficiency 45	MONDO:0033533	MRPL12
46,XY disorder of sex development due to a testosterone synthesis defect	MONDO:0019594	AKR1C2 | AKR1C4 | CYB5A | CYP11A1 | CYP17A1 | DHCR7 | HSD17B3 | HSD3B2 | POR | STAR
thrombocythemia 1	MONDO:0008554	CALR | SH2B3 | THPO
encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 1	MONDO:0020781	NAXE
